,STATE ABBREVIATION,D,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME(f),CANDIDATE NAME,PARTY,(I),GENERAL VOTES 
45,AZ,07,Gary,Dunn,gary dunn,"Dunn, Gary",OTHER,0,129
46,AZ,07,Gustavo,Ortega,gustavo ortega,"Ortega, Gustavo",OTHER,0,17
47,AZ,07,Samuel,Esquivel,samuel esquivel,"Esquivel, Samuel",OTHER,0,4
48,AZ,08,Trent,Franks,trent franks,"Franks, Trent",R,1,128710
49,AZ,08,Stephen,Dolgos,stephen dolgos,"Dolgos, Stephen",OTHER,0,41066
50,AZ,09,Kyrsten,Sinema,kyrsten sinema,"Sinema, Kyrsten",D,1,88609
51,AZ,09,Wendy,Rogers,wendy rogers,"Rogers, Wendy",R,0,67841
52,AZ,09,Powell,Gammill,powell gammill,"Gammill, Powell",OTHER,0,5612
53,AR,01,Rick ,Crawford,rick crawford,"Crawford, Rick ",R,1,124139
54,AR,01,Jackie,McPherson,jackie mcpherson,"McPherson, Jackie",D,0,63555
55,AR,01,Brian Scott,Willhite,brian willhite,"Willhite, Brian Scott",OTHER,0,8562
56,AR,02,French ,Hill,french hill,"Hill, French ",R,0,123073
57,AR,02,Patrick Henry,Hays,patrick hays,"Hays, Patrick Henry",D,0,103477
58,AR,02,Debbie ,Standiford,debbie standiford,"Standiford, Debbie ",OTHER,0,10590
59,AR,02,Charles,Neely,charles neely,"Neely, Charles",OTHER,0,190
60,AR,03,Steve,Womack,steve womack,"Womack, Steve",R,1,151630
61,AR,03,Grant ,Brand,grant brand,"Brand, Grant ",OTHER,0,39305
62,AR,04,Bruce,Westerman,bruce westerman,"Westerman, Bruce",R,0,110789
63,AR,04,James Lee,Witt,james witt,"Witt, James Lee",D,0,87742
64,AR,04,Ken,Hamilton,ken hamilton,"Hamilton, Ken",OTHER,0,7598
65,AR,04,Janis K.,Percefull,janis percefull,"Percefull, Janis K.",OTHER,0,2
66,CA,01,Doug,La Malfa,doug la malfa,"La Malfa, Doug",R,1,132052
67,CA,01,Heidi,Hall,heidi hall,"Hall, Heidi",D,0,84320
68,CA,02,Jared,Huffman,jared huffman,"Huffman, Jared",D,1,163124
69,CA,02,Dale K.,Mensing,dale mensing,"Mensing, Dale K.",R,0,54400
